business_id;name;address;city;state;postal_code;latitude;longitude;stars;review_count;is_open;attributes;categories;hours
Pns2l4eNsfO8kk83dixA6A;Abby Rappoport, LAC, CMQ;1616 Chapala St, Ste 2;Santa Barbara;CA;93101;34.4266787;-119.7111968;5.0;7;0;{'ByAppointmentOnly': 'True'};Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists;
mpf3x-BjTdTEA3yCZrAYPw;The UPS Store;87 Grasso Plaza Shopping Center;Affton;MO;63123;38.551126;-90.335695;3.0;15;1;{'BusinessAcceptsCreditCards': 'True'};Shipping Centers, Local Services, Notaries, Mailbox Centers, Printing Services;{'Monday': '0:0-0:0', 'Tuesday': '8:0-18:30', 'Wednesday': '8:0-18:30', 'Thursday': '8:0-18:30', 'Friday': '8:0-18:30', 'Saturday': '8:0-14:0'}
tUFrWirKiKi_TAnsVWINQQ;Target;5255 E Broadway Blvd;Tucson;AZ;85711;32.223236;-110.880452;3.5;22;0;"{'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'CoatCheck': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Caters': 'False', 'WiFi': ""u'no'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WheelchairAccessible': 'True', 'HappyHour': 'False', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsReservations': 'False', 'DogsAllowed': 'False', 'ByAppointmentOnly': 'False'}";Department Stores, Shopping, Fashion, Home & Garden, Electronics, Furniture Stores;{'Monday': '8:0-22:0', 'Tuesday': '8:0-22:0', 'Wednesday': '8:0-22:0', 'Thursday': '8:0-22:0', 'Friday': '8:0-23:0', 'Saturday': '8:0-23:0', 'Sunday': '8:0-22:0'}
MTSW4McQd7CbVtyjqoe9mw;St Honore Pastries;935 Race St;Philadelphia;PA;19107;39.9555052;-75.1555641;4.0;80;1;"{'RestaurantsDelivery': 'False', 'OutdoorSeating': 'False', 'BusinessAcceptsCreditCards': 'False', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'Alcohol': ""u'none'"", 'Caters': 'True'}";Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries;{'Monday': '7:0-20:0', 'Tuesday': '7:0-20:0', 'Wednesday': '7:0-20:0', 'Thursday': '7:0-20:0', 'Friday': '7:0-21:0', 'Saturday': '7:0-21:0', 'Sunday': '7:0-21:0'}
mWMc6_wTdE0EUBKIGXDVfA;Perkiomen Valley Brewery;101 Walnut St;Green Lane;PA;18054;40.3381827;-75.4716585;4.5;13;1;"{'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': None, 'street': None, 'validated': None, 'lot': True, 'valet': False}"", 'BikeParking': 'True', 'GoodForKids': 'True', 'Caters': 'False'}";Brewpubs, Breweries, Food;{'Wednesday': '14:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '12:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-18:0'}
CF33F8-E6oudUQ46HnavjQ;Sonic Drive-In;615 S Main St;Ashland City;TN;37015;36.269593;-87.058943;2.0;6;1;"{'BusinessParking': 'None', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsAttire': ""u'casual'"", 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'Alcohol': ""u'none'"", 'Ambience': 'None', 'GoodForKids': 'True', 'RestaurantsPriceRange2': '1', 'ByAppointmentOnly': 'False', 'CoatCheck': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'True', 'WiFi': ""u'no'"", 'WheelchairAccessible': 'True', 'HasTV': 'True', 'HappyHour': 'False', 'DriveThru': 'True', 'BikeParking': 'False'}";Burgers, Fast Food, Sandwiches, Food, Ice Cream & Frozen Yogurt, Restaurants;{'Monday': '0:0-0:0', 'Tuesday': '6:0-22:0', 'Wednesday': '6:0-22:0', 'Thursday': '6:0-22:0', 'Friday': '9:0-0:0', 'Saturday': '9:0-22:0', 'Sunday': '8:0-22:0'}
n_0UpQx1hsNbnPUSlodU8w;Famous Footwear;8522 Eager Road, Dierbergs Brentwood Point;Brentwood;MO;63144;38.627695;-90.340465;2.5;13;1;"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}";Sporting Goods, Fashion, Shoe Stores, Shopping, Sports Wear, Accessories;{'Monday': '0:0-0:0', 'Tuesday': '10:0-18:0', 'Wednesday': '10:0-18:0', 'Thursday': '10:0-18:0', 'Friday': '10:0-18:0', 'Saturday': '10:0-18:0', 'Sunday': '12:0-18:0'}
qkRM_2X51Yqxk3btlwAQIg;Temple Beth-El;400 Pasadena Ave S;St. Petersburg;FL;33707;27.76659;-82.732983;3.5;5;1;;Synagogues, Religious Organizations;{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}
k0hlBqXX-Bt0vf1op7Jr1w;Tsevi's Pub And Grill;8025 Mackenzie Rd;Affton;MO;63123;38.5651648;-90.3210868;3.0;19;0;"{'Caters': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'HasTV': 'True', 'NoiseLevel': ""u'average'"", 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsPriceRange2': '1', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True'}";Pubs, Restaurants, Italian, Bars, American (Traditional), Nightlife, Greek;
bBDDEgkFA1Otx9Lfe7BZUQ;Sonic Drive-In;2312 Dickerson Pike;Nashville;TN;37207;36.2081024;-86.7681696;1.5;10;1;"{'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'GoodForKids': 'True', 'Alcohol': ""u'none'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'DogsAllowed': 'False', 'RestaurantsTableService': 'False', 'ByAppointmentOnly': 'False', 'WiFi': ""u'no'"", 'RestaurantsPriceRange2': '1', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'True', 'CoatCheck': 'False', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'DriveThru': 'True', 'HappyHour': 'False', 'WheelchairAccessible': 'True'}";Ice Cream & Frozen Yogurt, Fast Food, Burgers, Restaurants, Food;{'Monday': '0:0-0:0', 'Tuesday': '6:0-21:0', 'Wednesday': '6:0-21:0', 'Thursday': '6:0-16:0', 'Friday': '6:0-16:0', 'Saturday': '6:0-17:0', 'Sunday': '6:0-21:0'}
UJsufbvfyfONHeWdvAHKjA;Marshalls;21705 Village Lakes Sc Dr;Land O' Lakes;FL;34639;28.1904587953;-82.4573802199;3.5;6;1;"{'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}";Department Stores, Shopping, Fashion;{'Monday': '9:30-21:30', 'Tuesday': '9:30-21:30', 'Wednesday': '9:30-21:30', 'Thursday': '9:30-21:30', 'Friday': '9:30-21:30', 'Saturday': '9:30-21:30', 'Sunday': '10:0-20:0'}
