;id;alias;name;image_url;is_closed;url;review_count;categories;rating;coordinates;transactions;price;location;phone;display_phone;distance
0;-0iLH7iQNYtoURciDpJf6w;le-comptoir-de-la-gastronomie-paris;Le Comptoir de la Gastronomie;https://s3-media3.fl.yelpcdn.com/bphoto/xT4YkCm_cZWbKbz9AVEnaA/o.jpg;False;https://www.yelp.com/biz/le-comptoir-de-la-gastronomie-paris?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;1300;[{'alias': 'french', 'title': 'French'}];4.5;{'latitude': 48.8645157999652, 'longitude': 2.34540185646608};[];€€;{'address1': '34 rue Montmartre', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75001', 'country': 'FR', 'state': '75', 'display_address': ['34 rue Montmartre', '75001 Paris', 'France']};+33142333132;+33 1 42 33 31 32;370.8275165771047
1;IU9_wVOGBKjfqTTpAXpKcQ;bistro-des-augustins-paris;Bistro des Augustins;https://s3-media2.fl.yelpcdn.com/bphoto/ctHDHMiqeUGs8Zcj71nk7g/o.jpg;False;https://www.yelp.com/biz/bistro-des-augustins-paris?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;484;[{'alias': 'bistros', 'title': 'Bistros'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}];4.5;{'latitude': 48.854754, 'longitude': 2.342119};[];€€;{'address1': '39 quai des Grands Augustins', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': ['39 quai des Grands Augustins', '75006 Paris', 'France']};+33143540441;+33 1 43 54 04 41;801.1176096949143
2;cEjF41ZQB8-SST8cd3EsEw;l-avant-comptoir-paris-3;L'Avant Comptoir;https://s3-media2.fl.yelpcdn.com/bphoto/V38oU4jfwMlY8Ue3vb-dBQ/o.jpg;False;https://www.yelp.com/biz/l-avant-comptoir-paris-3?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;657;[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}];4.5;{'latitude': 48.85202, 'longitude': 2.3388};[];€€;"{'address1': ""3 carrefour de l'Odéon"", 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': [""3 carrefour de l'Odéon"", '75006 Paris', 'France']}";+33142384755;+33 1 42 38 47 55;1131.3338874175195
3;BuJnfWI86tTxFUon071EKg;brasserie-bellanger-paris;Brasserie Bellanger;https://s3-media2.fl.yelpcdn.com/bphoto/0IQnl-_mp6Tf9VwHEG_rIQ/o.jpg;False;https://www.yelp.com/biz/brasserie-bellanger-paris?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;23;[{'alias': 'french', 'title': 'French'}];5.0;{'latitude': 48.880937, 'longitude': 2.3499401};[];;{'address1': '140 rue du Faubourg Poissonnière', 'address2': '', 'address3': None, 'city': 'Paris', 'zip_code': '75010', 'country': 'FR', 'state': '01', 'display_address': ['140 rue du Faubourg Poissonnière', '75010 Paris', 'France']};+33954009965;+33 9 54 00 99 65;2185.8423708491837
4;pztzge22A_c_BfzLHCmaMw;le-bistro-du-périgord-paris-3;Le Bistro du Périgord;https://s3-media2.fl.yelpcdn.com/bphoto/VmDGRn19TIweXfn0CPSx8g/o.jpg;False;https://www.yelp.com/biz/le-bistro-du-p%C3%A9rigord-paris-3?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;377;[{'alias': 'bistros', 'title': 'Bistros'}];4.5;{'latitude': 48.8498092201519, 'longitude': 2.34515282327701};[];€€€;{'address1': '71 rue Saint-Jacques', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75005', 'country': 'FR', 'state': '75', 'display_address': ['71 rue Saint-Jacques', '75005 Paris', 'France']};+33143296749;+33 1 43 29 67 49;1368.720540444579
5;ctP4c3mwVO5oOzLI48LtuQ;les-antiquaires-paris;Les Antiquaires;https://s3-media1.fl.yelpcdn.com/bphoto/5NWC7VJSVWfNO4BXs_8i_A/o.jpg;False;https://www.yelp.com/biz/les-antiquaires-paris?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;466;[{'alias': 'bistros', 'title': 'Bistros'}];4.5;{'latitude': 48.8580664639432, 'longitude': 2.32823697067099};[];€€€;{'address1': '13 rue du Bac', 'address2': '', 'address3': '', 'city': 'Paris', 'zip_code': '75007', 'country': 'FR', 'state': '75', 'display_address': ['13 rue du Bac', '75007 Paris', 'France']};+33142610836;+33 1 42 61 08 36;1105.8560284268087
6;DwZsEW-rBrBBLHioGdKoAg;la-fontaine-de-mars-paris-2;La Fontaine de Mars;https://s3-media3.fl.yelpcdn.com/bphoto/uI4ifexZBDt-tW1Im7B_8w/o.jpg;False;https://www.yelp.com/biz/la-fontaine-de-mars-paris-2?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;341;[{'alias': 'french', 'title': 'French'}];4.5;{'latitude': 48.858394, 'longitude': 2.302568};[];€€€;{'address1': '129 rue Saint-Dominique', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75007', 'country': 'FR', 'state': '75', 'display_address': ['129 rue Saint-Dominique', '75007 Paris', 'France']};+33147054644;+33 1 47 05 46 44;2922.4633600414268
7;TWsuxL7J0iACK5KplxZMtA;le-p-tit-bistro-paris-2;Le P'tit Bistro;https://s3-media4.fl.yelpcdn.com/bphoto/lrnzcsuLrhN7wFiH-HI2AQ/o.jpg;False;https://www.yelp.com/biz/le-p-tit-bistro-paris-2?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;21;[{'alias': 'brasseries', 'title': 'Brasseries'}, {'alias': 'bars', 'title': 'Bars'}];4.5;{'latitude': 48.85755, 'longitude': 2.34938};[];€€;{'address1': '8 rue Saint-Martin', 'address2': '', 'address3': None, 'city': 'Paris', 'zip_code': '75004', 'country': 'FR', 'state': '75', 'display_address': ['8 rue Saint-Martin', '75004 Paris', 'France']};+33142785580;+33 1 42 78 55 80;721.268871756433
8;lTGYl3EcDKgXUhKpd7qQsw;le-pré-paris-2;Le Pré;https://s3-media2.fl.yelpcdn.com/bphoto/VoLWvCs1k-xgasZ6TDqq1A/o.jpg;False;https://www.yelp.com/biz/le-pr%C3%A9-paris-2?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;10;[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'beerbar', 'title': 'Beer Bar'}, {'alias': 'cafes', 'title': 'Cafes'}];5.0;{'latitude': 48.85301, 'longitude': 2.33514};[];;{'address1': '4 rue du Four', 'address2': '', 'address3': None, 'city': 'Paris', 'zip_code': '75006', 'country': 'FR', 'state': '75', 'display_address': ['4 rue du Four', '75006 Paris', 'France']};+33140469322;+33 1 40 46 93 22;1114.4131756360462
9;zSZ5-zMnusVLLEPOaJasSQ;au-petit-village-paris;Au Petit Village;https://s3-media3.fl.yelpcdn.com/bphoto/NWStTdTLwlZCcOyi97A0Sw/o.jpg;False;https://www.yelp.com/biz/au-petit-village-paris?adjust_creative=g2OIHf09azO7ceooqv_S_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=g2OIHf09azO7ceooqv_S_w;12;[{'alias': 'french', 'title': 'French'}];5.0;{'latitude': 48.8332625215691, 'longitude': 2.35616696743751};[];;{'address1': '06 rue Coypel', 'address2': None, 'address3': None, 'city': 'Paris', 'zip_code': '75013', 'country': 'FR', 'state': '75', 'display_address': ['06 rue Coypel', '75013 Paris', 'France']};+33143370857;+33 1 43 37 08 57;3351.6980033281498
