business_id;review_id;text;rating;time_created;user_id;corrected_text;translated_text;label;sentiment_vader;sentiment_tokenizer;preprocessed_text;Topic_Title;sentiment_resultsBert;sentiment_resultsBert_label;cnn_sentiment_label
-0iLH7iQNYtoURciDpJf6w;sxEFkJ89kyF-wMDUI2ZnWw;"Based on the menu presented, one could write a glowing review like this

Les Classiques offers an exquisite culinary journey into the heart of French...";5;2023-12-29 23:14:16;CuqQtIpX7ZMViDuzRXxr9g;Based on the menu presented, one could write a glowing review like this Les Classiques offers an exquisite culinary journey into the heart of French culture.;"Based on the menu presented, one could write a glowing review like this

Les Classiques offers an exquisite culinary journey into the heart of French...";2;positive;positive;base menu present write glow review classiques offer exquisite culinary journey heart french culture base_menu menu_present present_write write_glow glow_review review_le le_classiques classiques_offer offer_exquisite exquisite_culinary culinary_journey journey_heart heart_french french_culture base_menu_present menu_present_write present_write_glow write_glow_review glow_review_le review_le_classiques le_classiques_offer classiques_offer_exquisite offer_exquisite_culinary exquisite_culinary_journey culinary_journey_heart journey_heart_french heart_french_culture;French Food;2;positive;positive
-0iLH7iQNYtoURciDpJf6w;n3lGqJHkjPc6SVDHOVbSNw;I like this place but it does feel a little bit like a tourist trap as most people dining here are foreigners, and the cuisine, while good, didn't deviate...;4;2024-01-03 09:01:14;7e7hA-2b6LJV_ywPYEUO1w;I like this place, but it does feel a little bit like a tourist trap, as most people dining here are foreigners, and the cuisine, while good, didn't deviate.;I like this place but it does feel a little bit like a tourist trap as most people dining here are foreigners, and the cuisine, while good, didn't deviate...;2;positive;positive;place feel little bit tourist trap people din foreigner cuisine good deviate place_feel feel_little little_bit bit_tourist tourist_trap trap_people people_din din_foreigner foreigner_cuisine cuisine_good good_deviate place_feel_little feel_little_bit little_bit_tourist bit_tourist_trap tourist_trap_people trap_people_din people_din_foreigner din_foreigner_cuisine foreigner_cuisine_good cuisine_good_deviate;Restaurant with Reservation;2;positive;neutral
-0iLH7iQNYtoURciDpJf6w;3MYKaD-tDrUVhRgDh9G4dA;If you love French OnIon Soup, this is for you  We tried Le Comptoir de la Gastronomie tonight it's in the 1st, nearest Metro Etienne Marcel 4 train....;5;2023-12-14 13:59:59;DE6hz6gzrq67IYwH7Rh6Zg;If you love French onion soup, this is for you!! We tried to make it up the stairs to bed but couldn't make it.;If you love French OnIon Soup, this is for you  We tried Le Comptoir de la Gastronomie tonight it's in the 1st, nearest Metro Etienne Marcel 4 train....;2;positive;positive;love french onion soup try stair bed love_french french_onion onion_soup soup_try try_stair stair_bed love_french_onion french_onion_soup onion_soup_try soup_try_stair try_stair_bed;French Food;2;positive;positive
IU9_wVOGBKjfqTTpAXpKcQ;PJuWhEzKFz3ipwhOcWMMBA;"Came here with my daughter, son inlaw  his mom. 
I had the Gratin which was delicious It came to the table extremely hot  remained hot. We did sit...";5;2023-09-22 09:36:00;dgBw2bNmgCDM21n7vKET1w;Came here with my daughter, son in law, and his mom.  I had the Gratin, which was delicious. It came to the table extremely hot and remained hot. . We did fight for a free press and the end of censorship 30 years ago.;"Came here with my daughter, son inlaw  his mom. 
I had the Gratin which was delicious It came to the table extremely hot  remained hot. We did sit...";2;positive;negative;daughter son law mom gratin delicious table extremely hot remain hot fight free press end censorship 30 year ago come_daughter daughter_son son_law law_mom mom_gratin gratin_delicious delicious_come come_table table_extremely extremely_hot hot_remain remain_hot hot_fight fight_free free_press press_end end_censorship censorship_30 30_year year_ago come_daughter_son daughter_son_law son_law_mom law_mom_gratin mom_gratin_delicious gratin_delicious_come delicious_come_table come_table_extremely table_extremely_hot extremely_hot_remain hot_remain_hot remain_hot_fight hot_fight_free fight_free_press free_press_end press_end_censorship end_censorship_30 censorship_30_year 30_year_ago;Recommended about Food & Service;2;positive;positive
IU9_wVOGBKjfqTTpAXpKcQ;T2k7VQB-TFkzkaEXRDfwYw;This tiny eatery along the Seine on the left bank has the best Gratins in all of Paris. Nothing hits the spot on a cold winter's day than piping hot...;5;2024-01-08 16:55:09;kmSmVVb_XOpYnxSq7qns8w;This tiny eatery along the Seine on the left bank has the best burgers in all of Paris. Nothing hits the spot on a cold winter’s day than piping hot.;This tiny eatery along the Seine on the left bank has the best Gratins in all of Paris. Nothing hits the spot on a cold winter's day than piping hot...;2;positive;positive;tiny eatery along seine leave bank best burger nothing hit spot cold winter day pip hot tiny_eatery eatery_along along_seine seine_leave leave_bank bank_best best_burger burger_nothing nothing_hit hit_spot spot_cold cold_winter winter_day day_pip pip_hot tiny_eatery_along eatery_along_seine along_seine_leave seine_leave_bank leave_bank_best bank_best_burger best_burger_nothing burger_nothing_hit nothing_hit_spot hit_spot_cold spot_cold_winter cold_winter_day winter_day_pip day_pip_hot;Restaurant for Dinner;2;positive;positive
IU9_wVOGBKjfqTTpAXpKcQ;yhEDVOp6whNi4jCQ6MPz1A;The food was AMAZING, I had the vegetarian vegetable grating and it was layered perfectly with the right amount of cheese potatoes and veggies. Everything...;5;2023-11-07 10:26:23;6dqYkH6bNKiZ2b8MarrMDw;The food was AMAZING, I had the vegetarian vegetable grating, and it was layered perfectly with the right amount of cheese, potatoes and veggies.;The food was AMAZING, I had the vegetarian vegetable grating and it was layered perfectly with the right amount of cheese potatoes and veggies. Everything...;2;positive;positive;food amaze vegetarian vegetable grating layer perfectly right amount cheese potato veggie food_amaze amaze_vegetarian vegetarian_vegetable vegetable_grating grating_layer layer_perfectly perfectly_right right_amount amount_cheese cheese_potato potato_veggie food_amaze_vegetarian amaze_vegetarian_vegetable vegetarian_vegetable_grating vegetable_grating_layer grating_layer_perfectly layer_perfectly_right perfectly_right_amount right_amount_cheese amount_cheese_potato cheese_potato_veggie;French Food;2;positive;positive
cEjF41ZQB8-SST8cd3EsEw;WiSWp2PnMqvPyNMkH9n-rQ;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM  Blue A was here and gave it a good review. So I said  to...;5;2023-11-03 04:55:44;t4UC_qZT0fhKvKfNYVeDaw;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM Blue A was here and gave it a good review. So I said to...;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM  Blue A was here and gave it a good review. So I said  to...;2;positive;positive;stay area sit cafe look place dinner saw old cm blue give good review say stay_area area_sit sit_cafe cafe_look look_place place_dinner dinner_saw saw_old old_cm cm_blue blue_give give_good good_review review_say stay_area_sit area_sit_cafe sit_cafe_look cafe_look_place look_place_dinner place_dinner_saw dinner_saw_old saw_old_cm old_cm_blue cm_blue_give blue_give_good give_good_review good_review_say;Restaurant with Reservation;1;neutral;positive
cEjF41ZQB8-SST8cd3EsEw;-c2VUFxZjN297DIzf4yADQ;I can't help but share my incredible experience at L'Avant Comptoir  it was so nice that I visited twice during my stay in Paris. This charming standup,...;5;2023-10-02 22:16:18;8u2A_YA0Nn5OBe1C7HViDA;I can't help but share my incredible experience at L'Avant Comptoir. It was so nice that I visited twice during my stay in Paris.;I can't help but share my incredible experience at L'Avant Comptoir  it was so nice that I visited twice during my stay in Paris. This charming standup,...;2;positive;positive;ca help share incredible experience lavant comptoir nice visit twice stay ca_help help_share share_incredible incredible_experience experience_lavant lavant_comptoir comptoir_nice nice_visit visit_twice twice_stay ca_help_share help_share_incredible share_incredible_experience incredible_experience_lavant experience_lavant_comptoir lavant_comptoir_nice comptoir_nice_visit nice_visit_twice visit_twice_stay;French Food;2;positive;positive
cEjF41ZQB8-SST8cd3EsEw;d0HaKMMqrbntnVgYJgksZg;This is an amazing bar style restaurant. The service was great So friendly Look at the big butter They have good food gras. The dessert cheese was great....;5;2023-11-09 19:47:29;OV6JZ1M5ov65F8PWQzhG-Q;This is an amazing bar style restaurant. The service was great. We look at the big 512GB SSD, which is very nice to see at this price point and gives you more space than what you usually find on cheap gaming PCs, and its standard case design means you can easily upgrade components like RAM in the future.;This is an amazing bar style restaurant. The service was great So friendly Look at the big butter They have good food gras. The dessert cheese was great....;2;positive;positive;amazing bar style service great look big 512gb ssd nice see price point give space usually find cheap game pcs standard case design mean easily upgrade component ram future amazing_bar bar_style style_service service_great great_look look_big big_512gb 512gb_ssd ssd_nice nice_see see_price price_point point_give give_space space_usually usually_find find_cheap cheap_game game_pcs pcs_standard standard_case case_design design_mean mean_easily easily_upgrade upgrade_component component_ram ram_future amazing_bar_style bar_style_service style_service_great service_great_look great_look_big look_big_512gb big_512gb_ssd 512gb_ssd_nice ssd_nice_see nice_see_price see_price_point price_point_give point_give_space give_space_usually space_usually_find usually_find_cheap find_cheap_game cheap_game_pcs game_pcs_standard pcs_standard_case standard_case_design case_design_mean design_mean_easily mean_easily_upgrade easily_upgrade_component upgrade_component_ram component_ram_future;Recommended about Food & Service;2;positive;positive
BuJnfWI86tTxFUon071EKg;id68lPNLI6S7aaKhurdHxQ;"I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer. 

Maybe, you should just come by...";5;2024-01-08 15:38:40;4IfQtngKykt4DgBNZUOgng;I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer.  Maybe you should just come by.;"I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer. 

Maybe, you should just come by...";2;positive;positive;understand everyone see food good share another satisfy customer maybe understand_everyone everyone_want want_see see_food food_good good_share share_another another_satisfy satisfy_customer customer_maybe understand_everyone_want everyone_want_see want_see_food see_food_good food_good_share good_share_another share_another_satisfy another_satisfy_customer satisfy_customer_maybe;French Food;2;positive;positive
