business_id;review_id;text;rating
-0iLH7iQNYtoURciDpJf6w;sxEFkJ89kyF-wMDUI2ZnWw;"Based on the menu presented, one could write a glowing review like this:

Les Classiques offers an exquisite culinary journey into the heart of French...";5
-0iLH7iQNYtoURciDpJf6w;n3lGqJHkjPc6SVDHOVbSNw;I like this place but it does feel a little bit like a tourist trap as most people dining here are foreigners, and the cuisine, while good, didn't deviate...;4
-0iLH7iQNYtoURciDpJf6w;3MYKaD-tDrUVhRgDh9G4dA;If you love French OnIon Soup, this is for you!  We tried Le Comptoir de la Gastronomie tonight (it's in the 1st, nearest Metro Etienne Marcel (4 train)....;5
IU9_wVOGBKjfqTTpAXpKcQ;PJuWhEzKFz3ipwhOcWMMBA;"Came here with my daughter, son in-law & his mom. 
I had the Gratin which was delicious! It came to the table extremely hot & remained hot. We did sit...";5
IU9_wVOGBKjfqTTpAXpKcQ;T2k7VQB-TFkzkaEXRDfwYw;This tiny eatery along the Seine on the left bank has the best Gratins in all of Paris. Nothing hits the spot on a cold winter's day than piping hot...;5
IU9_wVOGBKjfqTTpAXpKcQ;yhEDVOp6whNi4jCQ6MPz1A;The food was AMAZING, I had the vegetarian vegetable grating and it was layered perfectly with the right amount of cheese potatoes and veggies. Everything...;5
cEjF41ZQB8-SST8cd3EsEw;WiSWp2PnMqvPyNMkH9n-rQ;I'm staying in the area and was sitting at a cafe looking for a place for dinner and saw my old CM  Blue A was here and gave it a good review. So I said  to...;5
cEjF41ZQB8-SST8cd3EsEw;-c2VUFxZjN297DIzf4yADQ;I can't help but share my incredible experience at L'Avant Comptoir - it was so nice that I visited twice during my stay in Paris. This charming stand-up,...;5
cEjF41ZQB8-SST8cd3EsEw;d0HaKMMqrbntnVgYJgksZg;This is an amazing bar style restaurant. The service was great! So friendly! Look at the big butter! They have good food gras. The dessert cheese was great....;5
BuJnfWI86tTxFUon071EKg;id68lPNLI6S7aaKhurdHxQ;"I understand that everyone wants to see food, but, it was just so good that all I can share is another satisfied customer. 

Maybe, you should just come by...";5
BuJnfWI86tTxFUon071EKg;ub3PH4ZCSLUFWPKC2KhdBg;"/)/) 
( . .) 
( づ wouldn't really recommend. My steak and fries were soooo dry. Even though I ordered medium rare it came out more done than rare and super...";3
BuJnfWI86tTxFUon071EKg;4hQYh5KbNEl3ZvalsqZaig;Got here at 11:30 on a Wednesday.  They don't start serving lunch until 12.  So they let us sit. But then you wait.  I was grateful.  We've had a hell of a...;4
pztzge22A_c_BfzLHCmaMw;nc_6Ak7kYUg8MQTAZBrnWw;"Absolutely amazing!!  Please don't go. 
It will be too crowded. Very small. 
Fois. Fois. Fois. And vin.";5
pztzge22A_c_BfzLHCmaMw;zhfEYiNL5D-iEGMMjFSbLg;"A very cute but  small bistro--do make reservations--but beware, you will be charged if you don't keep the reservation.  

Service was lovely, and the wait...";5
pztzge22A_c_BfzLHCmaMw;OKJ6nDDvXjMN7eMgvNp82A;Some truly great food off the beaten path. The crème brûlée was the best I've ever had!! Excellent French style!!;5
DwZsEW-rBrBBLHioGdKoAg;8_YXFAK1B0new6lw3_lJEw;As a couple of American tourists that dont speak French, we really recommend this place. They were very friendly and the food was awesome. We also really...;5
DwZsEW-rBrBBLHioGdKoAg;vjECru1E4hQ26RI1XAZs9w;Top of my Paris Bucket List and 2nd dinner of the trip. It did not disappoint. It's in the Champ de Mars area near the Eiffel Tower and is the...;5
DwZsEW-rBrBBLHioGdKoAg;u5C8c54lBBJHu_j8mDHGwA;The host accommodated us by phone for same day during peak hour and was so nice to do so since they are packed all hours even to the last hour. We are...;5
ctP4c3mwVO5oOzLI48LtuQ;lXP0qW8tHuJa9C0ZIvzhPQ;"Everything is great. A must visit every time you visit Paris.
Oysters, wonderful wine by the glass, eclectic interior, outstanding professional...";5
ctP4c3mwVO5oOzLI48LtuQ;NQjfj1vMuJTa9214lmTbmA;The Ambiance of this restaurant is quite fitting for a romantic night if you're on a date or it's nice of you want to go to a spot with fellow...;4
ctP4c3mwVO5oOzLI48LtuQ;N1vyqRaqBpQdSYx0XDHZRw;The Jardin des Tuileries and the Louvre are across the river from each other, perfect for tasting before or after visiting there, it's about a ten minute...;4
TWsuxL7J0iACK5KplxZMtA;RkhcACG9fukseBPUWaxbvA;Super cute, family-owned Parisian bistro!! The owner, Bruno is very nice and attentive. He took our orders and served us.  His wife, Veronique is the chef!...;5
TWsuxL7J0iACK5KplxZMtA;65OPjCQhSPhYzVLLD2LtHg;Came here after a family outting to Notre Dame. Our baby was asleep in the stroller so we wanted to take advantage of some sit down dining close by and this...;4
TWsuxL7J0iACK5KplxZMtA;mvG8YqoYlZi3taDt8JgdKg;Food was great and came out quick.  Sauces were very good.  We tried a little bit of everything.  The owner was very nice and patient with our French.  We...;5
zSZ5-zMnusVLLEPOaJasSQ;FnHn7I0T317ZiNVhYN5tsQ;It's been a while since I have visited this place, but I felt the need to submit my review. I saw Au Petit Village on yelp before my stay in Paris with my...;5
zSZ5-zMnusVLLEPOaJasSQ;OfasF1MNlcvQ-s65rBGJ8w;This is a small neighborhood cafe. For that,  its excellent.  The cous cous was good, brought out in pots and you serve yourself.  The service also good....;4
zSZ5-zMnusVLLEPOaJasSQ;smQBQLQB9oYO6fa0ZCM37w;Everything written is spot on. Love this place. Had the beef filet. Delicious!!! Also snails. Yum! House wine is perfect.;5
cSw70yMlnM0eeYo2b-WRGA;7PdebIxh9qp4oKYE4aWGdA;Service was excellent, drinks were okay, and the food was barely mid. Ambiance was cute, typical inside and outside seating in Paris. The French onion soup...;2
cSw70yMlnM0eeYo2b-WRGA;SN5WvrUZPuhyp3x80PPszQ;This was another one of those random spots we stopped to try a quick espresso and some light food! Our plan in Paris pretty much was walk the beautiful city...;5
cSw70yMlnM0eeYo2b-WRGA;zSy_bEVGcJE5V2hDvjg7cg;Everyone raved about the bourguignon stew- I didn't live it. The prices were fair and the service was great. There aren't a lot of places to sit, esp if you...;3
J8q2EjxuOk3v19R5xQWAFA;duPscZJYxXYoAOreWi5Bgw;"Great little place showing the true side of cafe life in Paris. 
Food was very good. We did the Sunday brunch. And it was amazing.";5
J8q2EjxuOk3v19R5xQWAFA;JYxIlKUVLjcGJrpkY5T1Xw;We loved our time at Cafè Blanc- they have continuous service so we were able to eat around 1800 when we got to Paris. The service was wonderful and the...;5
J8q2EjxuOk3v19R5xQWAFA;b1UeM2MZOKHjjewiYqgPmw;"Great place for late night eats. Kitchen closes around midnight but drinks are served until 2am. 

The escargot here was the first and only we experienced...";4
ijqSzadlZ9SCXvUEpMimcA;8_sEVa437MxZZNmyzpdsZQ;"Such a classy place ! Been around for 120 years, and there's a good reason for that .
The hot chocolate is the signature and indeed is amazing - thick and...";5
ijqSzadlZ9SCXvUEpMimcA;lBDf2KXJtrFLWq0LQ9gxCA;"As im standing outside in this cold weather im kinda frustrated because i woke up to have a taste of this amazing restaurant for breakfast.
But as im here...";1
ijqSzadlZ9SCXvUEpMimcA;Zg5wqx711w2NBioYUEpxtA;When my husband and I did our European vacation this past September, Paris was our last stop. My only request was 3 thing. to see the Eiffel Tower, Visit...;5
SkZWjUwmNgcCJJQvgJT1DQ;w5qHru-L47-ES7TTQft3cw;"The French onion soup... wow. Me and my boyfriend talk about this place all the time. 

We did wait 30 minutes but so worth it. Such a cute little...";5
SkZWjUwmNgcCJJQvgJT1DQ;kxT-zGG-9x4Qr8T4LVbZDg;I stopped by at 10am and saw them getting ready for service at 12. I went to go grab my chocolate gifts and some starbucks(left the starbies at monoprix,...;5
SkZWjUwmNgcCJJQvgJT1DQ;AiY3HxG_aooLoXDNkr-VeA;Absolutely fantastic service by a brand new employee who handled the small space with grace, humor and delight. Overall Paris dining during the week was...;5
PHsKPp496sFZm9K9Xz_TlA;iXgg30C6A9nCOoANPqTX8A;"Lives up to the hype of being a Michelin starred udon restaurant!

My bf ordered the Tonjiru (sliced pork belly) udon and I got the Bukkake Tempura udon....";5
PHsKPp496sFZm9K9Xz_TlA;wU62detHGXFF3glT8XpCWg;"Awesome Japanese place close to the Louvre. We had a couple of glasses of Kirin and some sake that were awesome. In terms food we had
1. Pork cutlet
2....";5
PHsKPp496sFZm9K9Xz_TlA;0QdDpg5Ma_nhWg-MDvR8bw;"** Perfect way to get your noodle fix for all the tourists that want to take a break from the local cuisine. A bit of a wait but well worth it! 

Tired of...";5
BPqBRgweCDLInSRww9qmYg;Ph9VXcS7DV_h0NgGPiuWSA;"This was a very special restaurant. The service was superior, the cocktails were unique and delicious, wine was delicious, and the food was amazing.

We...";5
BPqBRgweCDLInSRww9qmYg;UP12SvmzdWYrpuX5s9Ordg;What a lovely experience at Le Corner Saint Germain. The service and food were outstanding! I made a reservation online a few weeks ago and don't think I...;5
BPqBRgweCDLInSRww9qmYg;jpRgU2IcDs8Qa1Ev8C_r9Q;"We found this little gem of a restaurant while wandering around Saint-Germaine one evening.

We were looking for something rather light, and thought their...";5
lTGYl3EcDKgXUhKpd7qQsw;ZhSDm3hwgEKljDfQHYboXA;Magnifique!  Loved the ambiance, great service, but the food was absolutely AMAZING!  I had the beef and carrot stew, and it was EXQUISITE!  My wife had the...;5
lTGYl3EcDKgXUhKpd7qQsw;L0YbpomUVmsmZDasgntUag;I was served a singularly mediocre Croque Madame. I've had far better home in the US.;2
lTGYl3EcDKgXUhKpd7qQsw;qNYgVypEwGpebqQmiC8vIQ;I had French onion soup which was quite salty! The location is the only plus here actually.;3
e6RHSG0d94yzA3McN-eFxg;kd5pbM-87b8SB0NCPuUvlg;Welcome Switch fans, to the long awaited next installment in the Reggie Reviews series. Today I am reviewing The Gemini Restaurant in Paris, France! The...;5
e6RHSG0d94yzA3McN-eFxg;HI2LSUxRZ7CUnkxrEFJ0TQ;The best meal by far that we had in France. Yes sad since it was not French food. The Bianca pizza was delicious I would highly recommend. This place will...;5
e6RHSG0d94yzA3McN-eFxg;wNCnYnOsQhRNt0QBIMeXBA;Could not find it with directions provided. Does it still exist? We were staying close to where it should have been.;1
